# GENERATED by hc-conformance --write-coverage-traceability. Obligations a language-
# family grammar could pick up by growing an existing fixture, keyed on WITNESS (a real
# word-level counterfactual delta) never mere presence -- see FoldInCategory's own doc
# comments for exactly what each category claims and does not claim.
#   EdgeCaseOnly                     only a fabricated edge case witnesses this; folding
#                                    it in needs new grammar content
#   PresentInLanguageGrammarAlready  surface layer only: a language grammar already
#                                    structurally contains it; new WORDS may be enough
#   NeverWitnessed                   interface layer only: present somewhere, witnessed
#                                    nowhere -- not a fold-in target, a named gap
layer	obligation	category	detail
Interface	MetathesisRule.rightSwitch	NeverWitnessed	present in 3 fixture(s), witnessed by none
Interface	ModifyFromInput.index	NeverWitnessed	present in 3 fixture(s), witnessed by none
Interface	MorphemeCoOccurrenceRule.otherMorphemes	NeverWitnessed	present in 3 fixture(s), witnessed by none
Interface	MorphemeCoOccurrenceRule.primaryMorpheme	NeverWitnessed	present in 3 fixture(s), witnessed by none
Interface	MorphologicalInput.excludedMPRFeatures	EdgeCaseOnly	witnessed only by: edge-cases/morphotactic-attribute-breadth,edge-cases/mpr-gated-exception
Interface	MorphologicalPhonologicalRuleFeatureGroup.features	NeverWitnessed	present in 5 fixture(s), witnessed by none
Interface	MorphologicalRule.outputObligatoryFeatures	NeverWitnessed	present in 1 fixture(s), witnessed by none
Interface	Segment.segment	NeverWitnessed	present in 17 fixture(s), witnessed by none
Interface	SimpleContext.naturalClass	NeverWitnessed	present in 30 fixture(s), witnessed by none
Interface	Slot.morphologicalRules	NeverWitnessed	present in 8 fixture(s), witnessed by none
Interface	StemName.partsOfSpeech	NeverWitnessed	present in 4 fixture(s), witnessed by none
Interface	Stratum.characterDefinitionTable	NeverWitnessed	present in 33 fixture(s), witnessed by none
Interface	SymbolicFeature.defaultSymbol	NeverWitnessed	present in 1 fixture(s), witnessed by none
Interface	VariableFeature.phonologicalFeature	NeverWitnessed	present in 3 fixture(s), witnessed by none
