# GENERATED by hc-conformance --write-dataflow-obligations. One row per required CELL of
# docs/dataflow-coverage-plan.md's obligation matrix, built on conformance/interaction-chains.tsv
# (InteractionChainLedger). Every chain gates (see DataflowObligationLedger's own doc comment for
# why the old required*/excluded*-name heuristic was wrong), so cell_kind=McDc contributes the
# floor 4 cells per chain (PresentControl/PresentGatedForm/AbsentControl/AbsentGatedForm).
# cell_kind=ConditionExtension adds the extra MC/DC vectors an MPR-feature gate needs when a real
# fixture's attribute value lists more than one feature id (n conditions need n+1 cases, not a
# fixed 2) -- attributed to the specific fixture that realizes it. cell_kind=Mutator adds a
# MutatorAbsent/MutatorPresent pair per (chain, ObligationMutatorClass) the payload type/writer
# make schema-applicable -- mutator_class names which one; only Overwrite has a corpus detector
# today, the other three are declared-but-unmodelled. status is Satisfied only for a same-word
# PAIR witness (writer AND reader severance both flip one named word -- see
# conformance/interface-witness.tsv); NotSatisfied when the chain is not even structurally
# exercised; Unknown otherwise -- deliberate, not a gap (see this class's own doc comment).
cell_id	writer_element	writer_attribute	payload_type	reader_element	reader_attribute	cell_kind	role	mutator_class	status	evidence
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::Mutator:MutatorPresent:CompoundingNonHeadDrop	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	Mutator	MutatorPresent	CompoundingNonHeadDrop	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::Mutator:MutatorAbsent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::Mutator:MutatorPresent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::McDc:AbsentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::McDc:AbsentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::McDc:PresentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::McDc:PresentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::Mutator:MutatorAbsent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::Mutator:MutatorPresent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::Mutator:MutatorAbsent:CompoundingNonHeadDrop	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	Mutator	MutatorAbsent	CompoundingNonHeadDrop	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::Mutator:MutatorPresent:CompoundingNonHeadDrop	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	Mutator	MutatorPresent	CompoundingNonHeadDrop	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::Mutator:MutatorAbsent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.requiredMPRFeatures::Mutator:MutatorPresent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	requiredMPRFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.headProdRestrictionsMprFeatures::McDc:AbsentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	McDc	AbsentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.headProdRestrictionsMprFeatures::McDc:AbsentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	McDc	AbsentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.headProdRestrictionsMprFeatures::McDc:PresentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	McDc	PresentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.headProdRestrictionsMprFeatures::McDc:PresentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	McDc	PresentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.headProdRestrictionsMprFeatures::Mutator:MutatorAbsent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	Mutator	MutatorAbsent	Blocking	Unknown	structurally hazardous: languages/fusional-realizational-morphology declares >=2 LexicalEntry sharing a family under the same Stratum (Word.CheckBlocking's family+stratum precondition, Word.cs:475-485); FeatureStruct subsumption and word-level witness of an actual block are not checked here
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.headProdRestrictionsMprFeatures::Mutator:MutatorPresent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	Mutator	MutatorPresent	Blocking	Unknown	structurally hazardous: languages/fusional-realizational-morphology declares >=2 LexicalEntry sharing a family under the same Stratum (Word.CheckBlocking's family+stratum precondition, Word.cs:475-485); FeatureStruct subsumption and word-level witness of an actual block are not checked here
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.headProdRestrictionsMprFeatures::Mutator:MutatorAbsent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	Mutator	MutatorAbsent	Overwrite	Unknown	no exercising fixture has an overwrite-type MorphologicalPhonologicalRuleFeatureGroup covering the shared id yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.headProdRestrictionsMprFeatures::Mutator:MutatorPresent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	Mutator	MutatorPresent	Overwrite	Unknown	no exercising fixture has an overwrite-type MorphologicalPhonologicalRuleFeatureGroup covering the shared id yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::McDc:AbsentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::McDc:AbsentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::McDc:PresentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::McDc:PresentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::Mutator:MutatorAbsent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::Mutator:MutatorPresent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::Mutator:MutatorAbsent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::Mutator:MutatorPresent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:AbsentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	McDc	AbsentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:AbsentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	McDc	AbsentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:PresentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	McDc	PresentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:PresentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	McDc	PresentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	Blocking	Unknown	structurally hazardous: languages/fusional-realizational-morphology declares >=2 LexicalEntry sharing a family under the same Stratum (Word.CheckBlocking's family+stratum precondition, Word.cs:475-485); FeatureStruct subsumption and word-level witness of an actual block are not checked here
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	Blocking	Unknown	structurally hazardous: languages/fusional-realizational-morphology declares >=2 LexicalEntry sharing a family under the same Stratum (Word.CheckBlocking's family+stratum precondition, Word.cs:475-485); FeatureStruct subsumption and word-level witness of an actual block are not checked here
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	Overwrite	Unknown	no exercising fixture has an overwrite-type MorphologicalPhonologicalRuleFeatureGroup covering the shared id yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	Overwrite	Unknown	no exercising fixture has an overwrite-type MorphologicalPhonologicalRuleFeatureGroup covering the shared id yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:AbsentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	McDc	AbsentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	McDc	AbsentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:PresentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	McDc	PresentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:PresentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	McDc	PresentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::Mutator:MutatorAbsent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	Mutator	MutatorAbsent	Blocking	Unknown	structurally hazardous: languages/fusional-realizational-morphology declares >=2 LexicalEntry sharing a family under the same Stratum (Word.CheckBlocking's family+stratum precondition, Word.cs:475-485); FeatureStruct subsumption and word-level witness of an actual block are not checked here
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::Mutator:MutatorPresent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	Mutator	MutatorPresent	Blocking	Unknown	structurally hazardous: languages/fusional-realizational-morphology declares >=2 LexicalEntry sharing a family under the same Stratum (Word.CheckBlocking's family+stratum precondition, Word.cs:475-485); FeatureStruct subsumption and word-level witness of an actual block are not checked here
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::Mutator:MutatorAbsent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	Mutator	MutatorAbsent	Overwrite	Unknown	no exercising fixture has an overwrite-type MorphologicalPhonologicalRuleFeatureGroup covering the shared id yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->HeadMorphologicalInput.requiredMPRFeatures::Mutator:MutatorPresent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	Mutator	MutatorPresent	Overwrite	Unknown	no exercising fixture has an overwrite-type MorphologicalPhonologicalRuleFeatureGroup covering the shared id yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::McDc:AbsentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	McDc	AbsentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::McDc:AbsentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	McDc	AbsentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::McDc:PresentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	McDc	PresentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::McDc:PresentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	McDc	PresentGatedForm	-	Satisfied	paired witness: severing writer and reader both flip 'vokadan' from failed to successful parse in edge-cases/mpr-gated-exception (conformance/interface-witness.tsv)
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	Blocking	Unknown	no exercising fixture declares >=2 LexicalEntry sharing a family under the same Stratum -- Word.CheckBlocking (Word.cs:475-477) requires LexEntry.Family != null, so blocking cannot fire in any exercising fixture as authored
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:Blocking	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	Blocking	Unknown	no exercising fixture declares >=2 LexicalEntry sharing a family under the same Stratum -- Word.CheckBlocking (Word.cs:475-477) requires LexEntry.Family != null, so blocking cannot fire in any exercising fixture as authored
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:CompoundingNonHeadDrop	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	CompoundingNonHeadDrop	Unknown	no exercising fixture declares a CompoundingRule -- the drop mechanism (SynthesisCompoundingRule.cs:236) cannot fire in any exercising fixture as authored
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:CompoundingNonHeadDrop	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	CompoundingNonHeadDrop	Unknown	no exercising fixture declares a CompoundingRule -- the drop mechanism (SynthesisCompoundingRule.cs:236) cannot fire in any exercising fixture as authored
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	Overwrite	Unknown	no exercising fixture has an overwrite-type MorphologicalPhonologicalRuleFeatureGroup covering the shared id yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:Overwrite	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	Overwrite	Unknown	no exercising fixture has an overwrite-type MorphologicalPhonologicalRuleFeatureGroup covering the shared id yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.requiredMPRFeatures::ConditionExtension:McDcVector3Control:languages/fusional-realizational-morphology	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	ConditionExtension	McDcVector3Control	-	Unknown	mechanically required by 2-condition gate observed in languages/fusional-realizational-morphology ('mprConjA mprConjB'); no per-vector witness check implemented yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.requiredMPRFeatures::ConditionExtension:McDcVector3GatedForm:languages/fusional-realizational-morphology	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	ConditionExtension	McDcVector3GatedForm	-	Unknown	mechanically required by 2-condition gate observed in languages/fusional-realizational-morphology ('mprConjA mprConjB'); no per-vector witness check implemented yet
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.requiredMPRFeatures::McDc:AbsentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	McDc	AbsentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	McDc	AbsentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.requiredMPRFeatures::McDc:PresentControl	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	McDc	PresentControl	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
MorphologicalPhonologicalRuleFeature::LexicalEntry.ruleFeatures->MorphologicalInput.requiredMPRFeatures::McDc:PresentGatedForm	LexicalEntry	ruleFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	McDc	PresentGatedForm	-	Unknown	chain exercised (conformance/interaction-chains.tsv) but no same-word paired severance witness (writer+reader both Evidenced on the same example word in conformance/interface-witness.tsv) was found for this arm
