# GENERATED by hc-conformance --write-coverage-traceability. One row per (element, attribute,
# fixture) triple InterfaceInventoryLedger marks present -- i.e. one severance run per place the
# interface actually shows up. Presence (interface-inventory.tsv) only means the attribute
# resolves to a real IDREF somewhere; it says nothing about whether the interface DOES anything.
# This ledger answers that by emptying the attribute out of every occurrence in the fixture and
# re-parsing every word against the mutant, exactly as CounterfactualLedger does for a unit
# surface. verdict is CounterfactualVerdict: only Evidenced is a word-level witness;
# RequiredByLoader/RequiredByDtd mean severing it made the grammar fail to load (a real but weaker
# signal -- no word was ever reached); Unobservable means the interface is present but INERT in
# this fixture -- every word parsed identically with it severed. Absent fields are "-".
element	attribute	fixture	verdict	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome
FeatureValue	symbolValues	edge-cases/compounding-breadth	RequiredByLoader	removed symbolValues from 20 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/cross-table-root-respelling	RequiredByLoader	removed symbolValues from 10 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	t	ok::ROOT1|m;ROOT3|t	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/disjunctive-recheck	RequiredByLoader	removed symbolValues from 13 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	wak	ok::|wak	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/feature-gating-breadth	RequiredByLoader	removed symbolValues from 15 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/feature-system-breadth	RequiredByLoader	removed symbolValues from 25 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/free-fluctuating-allomorph-pair	RequiredByLoader	removed symbolValues from 8 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	pol	ok::ALT|pol	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/loader-default-symbol	RequiredByLoader	removed symbolValues from 14 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	bat	ok::|bat	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/loader-isactive	RequiredByLoader	removed symbolValues from 9 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	kat	ok::|kat	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/metathesis-comparison-crash	RequiredByLoader	removed symbolValues from 2 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	ti	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/morphotactic-attribute-breadth	RequiredByLoader	removed symbolValues from 4 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	topdori	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/mpr-gated-exception	RequiredByLoader	removed symbolValues from 110 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	tulik	ok::TULIK|tulik	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/process-morphology-in-place-mutation	RequiredByLoader	removed symbolValues from 6 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	i	ok::ROOT|i	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/rewrite-analysis-feature-neutralization	RequiredByLoader	removed symbolValues from 8 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	d	ok::ROOT1|b;ROOT2|d	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/right-to-left-anchor-environment	RequiredByLoader	removed symbolValues from 2 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	aae	ok::ROOT1|aae	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/simultaneous-epenthesis-cascade	RequiredByLoader	removed symbolValues from 23 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	bubu	threw::InfiniteLoopException	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/stem-name-restricted-root-allomorph	RequiredByLoader	removed symbolValues from 3 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	tam	ok::ROOT|tam	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/subrule-morphosyntactic-gating	RequiredByLoader	removed symbolValues from 16 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	pat	ok::ROOT1|pat	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/synthesis-stratum-render-stale-table	RequiredByLoader	removed symbolValues from 8 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	j	ok::ROOTCROSS|	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	edge-cases/truncate-morphotactic	RequiredByLoader	removed symbolValues from 19 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	sag	ok::|sag	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	languages/fusional-realizational-morphology	RequiredByLoader	removed symbolValues from 43 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	languages/metathesis-phase-isolation	RequiredByLoader	removed symbolValues from 140 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	idil	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	languages/polysynthetic-stratal-derivation-chain	RequiredByLoader	removed symbolValues from 121 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	nuna	ok::NUNA|nuna	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	languages/suffixing-extension-slot-ordering	RequiredByLoader	removed symbolValues from 131 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	mbe	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	languages/suffixing-vowel-harmony	RequiredByLoader	removed symbolValues from 116 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	semitide	ok::SEMIT+PAST|semitide	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
FeatureValue	symbolValues	languages/templatic-root-modification	RequiredByLoader	removed symbolValues from 127 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	katab	ok::KTB|katab	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
HeadMorphologicalInput	excludedMPRFeatures	languages/fusional-realizational-morphology	Unobservable	removed excludedMPRFeatures from 1 <HeadMorphologicalInput> element(s)	all 63 word(s) unchanged	-	-	None	-
HeadMorphologicalInput	requiredMPRFeatures	languages/fusional-realizational-morphology	Unobservable	removed requiredMPRFeatures from 1 <HeadMorphologicalInput> element(s)	all 63 word(s) unchanged	-	-	None	-
LexicalEntry	family	edge-cases/loader-isactive-breadth	Unobservable	removed family from 2 <LexicalEntry> element(s)	all 18 word(s) unchanged	-	-	None	-
LexicalEntry	family	edge-cases/morphotactic-attribute-breadth	Unobservable	removed family from 4 <LexicalEntry> element(s)	all 33 word(s) unchanged	-	-	None	-
LexicalEntry	family	languages/fusional-realizational-morphology	Evidenced	removed family from 6 <LexicalEntry> element(s)	'ducit': ok::- -> ok::DUC+PAST2|ducit	ducit	ok::-	Word	ok::DUC+PAST2|ducit
LexicalEntry	family	languages/suffixing-extension-slot-ordering	Evidenced	removed family from 2 <LexicalEntry> element(s)	'zamed': ok::- -> ok::ZAM+RREALTEST|zamed	zamed	ok::-	Word	ok::ZAM+RREALTEST|zamed
LexicalEntry	partOfSpeech	edge-cases/alpha-variable-name-collision	Unobservable	removed partOfSpeech from 1 <LexicalEntry> element(s)	all 2 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/compounding-breadth	Unobservable	removed partOfSpeech from 6 <LexicalEntry> element(s)	all 11 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/cross-table-root-respelling	Unobservable	removed partOfSpeech from 3 <LexicalEntry> element(s)	all 7 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/deep-optional-affix-nesting	Unobservable	removed partOfSpeech from 1 <LexicalEntry> element(s)	all 3 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/diacritic-segments	Unobservable	removed partOfSpeech from 4 <LexicalEntry> element(s)	all 13 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/disjunctive-recheck	Unobservable	removed partOfSpeech from 4 <LexicalEntry> element(s)	all 12 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/feature-gating-breadth	Unobservable	removed partOfSpeech from 4 <LexicalEntry> element(s)	all 15 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/feature-system-breadth	Unobservable	removed partOfSpeech from 10 <LexicalEntry> element(s)	all 18 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/free-fluctuating-allomorph-pair	Unobservable	removed partOfSpeech from 2 <LexicalEntry> element(s)	all 6 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/loader-default-symbol	Unobservable	removed partOfSpeech from 2 <LexicalEntry> element(s)	all 2 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/loader-isactive	Unobservable	removed partOfSpeech from 2 <LexicalEntry> element(s)	all 2 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/loader-isactive-breadth	Unobservable	removed partOfSpeech from 6 <LexicalEntry> element(s)	all 18 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/loader-pattern-shapes	Unobservable	removed partOfSpeech from 2 <LexicalEntry> element(s)	all 4 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/metathesis-comparison-crash	Unobservable	removed partOfSpeech from 1 <LexicalEntry> element(s)	all 1 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/morphotactic-attribute-breadth	Unobservable	removed partOfSpeech from 9 <LexicalEntry> element(s)	all 33 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/mpr-gated-exception	Unobservable	removed partOfSpeech from 5 <LexicalEntry> element(s)	all 12 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/mpr-group-overwrite-without-realizational	Unobservable	removed partOfSpeech from 1 <LexicalEntry> element(s)	all 5 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/mpr-overwrite-order-dependence	Unobservable	removed partOfSpeech from 2 <LexicalEntry> element(s)	all 10 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/process-morphology-in-place-mutation	Unobservable	removed partOfSpeech from 3 <LexicalEntry> element(s)	all 3 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/rewrite-analysis-feature-neutralization	Unobservable	removed partOfSpeech from 3 <LexicalEntry> element(s)	all 7 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/simultaneous-epenthesis-cascade	Unobservable	removed partOfSpeech from 1 <LexicalEntry> element(s)	all 1 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/stem-name-restricted-root-allomorph	Unobservable	removed partOfSpeech from 1 <LexicalEntry> element(s)	all 6 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/strrep-identity	Unobservable	removed partOfSpeech from 3 <LexicalEntry> element(s)	all 12 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/subrule-morphosyntactic-gating	Evidenced	removed partOfSpeech from 1 <LexicalEntry> element(s)	'pat': ok::ROOT1|pat -> ok::-	pat	ok::ROOT1|pat	Word	ok::-
LexicalEntry	partOfSpeech	edge-cases/synthesis-stratum-render-stale-table	Unobservable	removed partOfSpeech from 2 <LexicalEntry> element(s)	all 5 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	edge-cases/truncate-morphotactic	Unobservable	removed partOfSpeech from 3 <LexicalEntry> element(s)	all 9 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	languages/fusional-realizational-morphology	Evidenced	removed partOfSpeech from 27 <LexicalEntry> element(s)	'mint': ok::STEM+P3|mint -> ok::MIT+PRESSTEM|mint;STEM+P3|mint	mint	ok::STEM+P3|mint	Word	ok::MIT+PRESSTEM|mint;STEM+P3|mint
LexicalEntry	partOfSpeech	languages/metathesis-phase-isolation	Evidenced	removed partOfSpeech from 9 <LexicalEntry> element(s)	'idil': ok::- -> ok::ADIL|idil	idil	ok::-	Word	ok::ADIL|idil
LexicalEntry	partOfSpeech	languages/polysynthetic-stratal-derivation-chain	Evidenced	removed partOfSpeech from 15 <LexicalEntry> element(s)	'nunavuq': ok::- -> ok::NUNA+INFL|nunavuq	nunavuq	ok::-	Word	ok::NUNA+INFL|nunavuq
LexicalEntry	partOfSpeech	languages/prefixal-discontinuous-slot-dependency	Unobservable	removed partOfSpeech from 2 <LexicalEntry> element(s)	all 10 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	languages/suffixing-evidential-adjacency-chain	Unobservable	removed partOfSpeech from 5 <LexicalEntry> element(s)	all 28 word(s) unchanged	-	-	None	-
LexicalEntry	partOfSpeech	languages/suffixing-extension-slot-ordering	Evidenced	removed partOfSpeech from 19 <LexicalEntry> element(s)	'mpe': ok::PPE|mpe -> ok::-	mpe	ok::PPE|mpe	Word	ok::-
LexicalEntry	partOfSpeech	languages/suffixing-vowel-harmony	Evidenced	removed partOfSpeech from 11 <LexicalEntry> element(s)	'gan': ok::GAN|gan -> ok::-	gan	ok::GAN|gan	Word	ok::-
LexicalEntry	partOfSpeech	languages/templatic-root-modification	Evidenced	removed partOfSpeech from 9 <LexicalEntry> element(s)	'kataba': ok::KTB+P3SG|kataba -> ok::KTB+JUSS|kataba;KTB+P3SG|kataba	kataba	ok::KTB+P3SG|kataba	Word	ok::KTB+JUSS|kataba;KTB+P3SG|kataba
LexicalEntry	ruleFeatures	edge-cases/loader-isactive-breadth	Unobservable	removed ruleFeatures from 2 <LexicalEntry> element(s)	all 18 word(s) unchanged	-	-	None	-
LexicalEntry	ruleFeatures	edge-cases/morphotactic-attribute-breadth	Unobservable	removed ruleFeatures from 1 <LexicalEntry> element(s)	all 33 word(s) unchanged	-	-	None	-
LexicalEntry	ruleFeatures	edge-cases/mpr-gated-exception	Evidenced	removed ruleFeatures from 1 <LexicalEntry> element(s)	'vokadan': ok::- -> ok::VOKAD+SUF|vokadan	vokadan	ok::-	Word	ok::VOKAD+SUF|vokadan
LexicalEntry	ruleFeatures	languages/fusional-realizational-morphology	Evidenced	removed ruleFeatures from 6 <LexicalEntry> element(s)	'gofz': ok::GOF+ENDZ|gofz -> ok::-	gofz	ok::GOF+ENDZ|gofz	Word	ok::-
LexicalEntry	ruleFeatures	languages/prefixal-discontinuous-slot-dependency	Evidenced	removed ruleFeatures from 2 <LexicalEntry> element(s)	'shiyidkal': ok::SBJ+PRF+CLF+KAL|shiyidkal -> ok::-	shiyidkal	ok::SBJ+PRF+CLF+KAL|shiyidkal	Word	ok::-
LexicalEntry	ruleFeatures	languages/suffixing-extension-slot-ordering	Evidenced	removed ruleFeatures from 7 <LexicalEntry> element(s)	'mbe': ok::- -> ok::PPE|mbe	mbe	ok::-	Word	ok::PPE|mbe
MetathesisRule	leftSwitch	edge-cases/feature-system-breadth	RequiredByDtd	removed leftSwitch from 3 <MetathesisRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'leftSwitch...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'leftSwitch...
MetathesisRule	leftSwitch	edge-cases/metathesis-comparison-crash	RequiredByDtd	removed leftSwitch from 1 <MetathesisRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'leftSwitch...	ti	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'leftSwitch...
MetathesisRule	leftSwitch	languages/metathesis-phase-isolation	RequiredByDtd	removed leftSwitch from 2 <MetathesisRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'leftSwitch...	idil	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'leftSwitch...
MetathesisRule	rightSwitch	edge-cases/feature-system-breadth	RequiredByDtd	removed rightSwitch from 3 <MetathesisRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'rightSwitc...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'rightSwitc...
MetathesisRule	rightSwitch	edge-cases/metathesis-comparison-crash	RequiredByDtd	removed rightSwitch from 1 <MetathesisRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'rightSwitc...	ti	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'rightSwitc...
MetathesisRule	rightSwitch	languages/metathesis-phase-isolation	RequiredByDtd	removed rightSwitch from 2 <MetathesisRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'rightSwitc...	idil	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'rightSwitc...
ModifyFromInput	index	edge-cases/process-morphology-in-place-mutation	RequiredByDtd	removed index from 1 <ModifyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	i	ok::ROOT|i	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
ModifyFromInput	index	languages/fusional-realizational-morphology	RequiredByDtd	removed index from 1 <ModifyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
ModifyFromInput	index	languages/templatic-root-modification	RequiredByDtd	removed index from 1 <ModifyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	katab	ok::KTB|katab	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
MorphemeCoOccurrenceRule	otherMorphemes	edge-cases/morphotactic-attribute-breadth	RequiredByDtd	removed otherMorphemes from 2 <MorphemeCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherMorph...	topdori	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherMorph...
MorphemeCoOccurrenceRule	otherMorphemes	languages/suffixing-evidential-adjacency-chain	RequiredByDtd	removed otherMorphemes from 6 <MorphemeCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherMorph...	tupay	ok::TUPA+1SG|tupay;TUPA2+1SG|tupay	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherMorph...
MorphemeCoOccurrenceRule	otherMorphemes	languages/templatic-root-modification	RequiredByDtd	removed otherMorphemes from 1 <MorphemeCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherMorph...	katab	ok::KTB|katab	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherMorph...
MorphemeCoOccurrenceRule	primaryMorpheme	edge-cases/morphotactic-attribute-breadth	RequiredByDtd	removed primaryMorpheme from 2 <MorphemeCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryMor...	topdori	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryMor...
MorphemeCoOccurrenceRule	primaryMorpheme	languages/suffixing-evidential-adjacency-chain	RequiredByDtd	removed primaryMorpheme from 6 <MorphemeCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryMor...	tupay	ok::TUPA+1SG|tupay;TUPA2+1SG|tupay	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryMor...
MorphemeCoOccurrenceRule	primaryMorpheme	languages/templatic-root-modification	RequiredByDtd	removed primaryMorpheme from 1 <MorphemeCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryMor...	katab	ok::KTB|katab	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryMor...
MorphologicalInput	excludedMPRFeatures	edge-cases/morphotactic-attribute-breadth	Evidenced	removed excludedMPRFeatures from 1 <MorphologicalInput> element(s)	'topdori': ok::- -> ok::TOP+CONFEREXCL+EXCLREADER|topdori	topdori	ok::-	Word	ok::TOP+CONFEREXCL+EXCLREADER|topdori
MorphologicalInput	excludedMPRFeatures	edge-cases/mpr-gated-exception	Evidenced	removed excludedMPRFeatures from 1 <MorphologicalInput> element(s)	'vokadan': ok::- -> ok::VOKAD+SUF|vokadan	vokadan	ok::-	Word	ok::VOKAD+SUF|vokadan
MorphologicalInput	requiredMPRFeatures	edge-cases/morphotactic-attribute-breadth	Unobservable	removed requiredMPRFeatures from 1 <MorphologicalInput> element(s)	all 33 word(s) unchanged	-	-	None	-
MorphologicalInput	requiredMPRFeatures	edge-cases/mpr-group-overwrite-without-realizational	Evidenced	removed requiredMPRFeatures from 1 <MorphologicalInput> element(s)	'wudofq': ok::- -> ok::THEMEB+THEMEA+DOF+ENDC|wudofq	wudofq	ok::-	Word	ok::THEMEB+THEMEA+DOF+ENDC|wudofq
MorphologicalInput	requiredMPRFeatures	edge-cases/mpr-overwrite-order-dependence	Evidenced	removed requiredMPRFeatures from 2 <MorphologicalInput> element(s)	'daboxayuzi': ok::- -> ok::DABO+SETX+SETY+GATEX|daboxayuzi	daboxayuzi	ok::-	Word	ok::DABO+SETX+SETY+GATEX|daboxayuzi
MorphologicalInput	requiredMPRFeatures	languages/fusional-realizational-morphology	Evidenced	removed requiredMPRFeatures from 3 <MorphologicalInput> element(s)	'ygofz': ok::- -> ok::THEMEY+GOF+ENDZ|ygofz	ygofz	ok::-	Word	ok::THEMEY+GOF+ENDZ|ygofz
MorphologicalInput	requiredMPRFeatures	languages/prefixal-discontinuous-slot-dependency	Evidenced	removed requiredMPRFeatures from 3 <MorphologicalInput> element(s)	'bishiwodkal': ok::- -> ok::OBJ+SBJ+IMPF+CLF+KAL|bishiwodkal	bishiwodkal	ok::-	Word	ok::OBJ+SBJ+IMPF+CLF+KAL|bishiwodkal
MorphologicalInput	requiredMPRFeatures	languages/suffixing-extension-slot-ordering	RequiredByLoader	removed requiredMPRFeatures from 4 <MorphologicalInput> element(s)	InvalidOperationException: Stack overflow.    at SIL.Machine.FeatureModel.StringFeatureValue..ctor(System.Collections.Ge...	mbe	ok::-	LoadFailure	InvalidOperationException: Stack overflow.    at SIL.Machine.FeatureModel.StringFeatureValue..ctor(System.Collections.Ge...
MorphologicalOutput	MPRFeatures	edge-cases/morphotactic-attribute-breadth	Evidenced	removed MPRFeatures from 4 <MorphologicalOutput> element(s)	'topdori': ok::- -> ok::TOP+CONFEREXCL+EXCLREADER|topdori	topdori	ok::-	Word	ok::TOP+CONFEREXCL+EXCLREADER|topdori
MorphologicalOutput	MPRFeatures	edge-cases/mpr-gated-exception	Evidenced	removed MPRFeatures from 1 <MorphologicalOutput> element(s)	'menanukam': ok::- -> ok::NPFX+TANUK+DELEXCLSRC|menanukam;NPFX+TANUK+DELEXCLSRC|menanukam	menanukam	ok::-	Word	ok::NPFX+TANUK+DELEXCLSRC|menanukam;NPFX+TANUK+DELEXCLSRC|menanukam
